class,f1_score,precision,recall,support
    0,0.84,0.85,0.82,1000.0
    1,0.98,0.99,0.97,1000.0
    2,0.84,0.88,0.81,1000.0
    3,0.88,0.83,0.93,1000.0
    4,0.83,0.8,0.87,1000.0
    5,0.94,0.98,0.91,1000.0
    6,0.69,0.72,0.66,1000.0
    7,0.92,0.88,0.97,1000.0
    8,0.98,0.99,0.97,1000.0
    9,0.95,0.96,0.93,1000.0
avg / total,0.88,0.89,0.89,10000.0
