class,f1_score,precision,recall,support
    0,0.74,0.74,0.74,1000.0
    1,0.83,0.86,0.79,1000.0
    2,0.55,0.58,0.52,1000.0
    3,0.48,0.61,0.39,1000.0
    4,0.63,0.57,0.7,1000.0
    5,0.62,0.67,0.57,1000.0
    6,0.71,0.6,0.85,1000.0
    7,0.75,0.81,0.7,1000.0
    8,0.77,0.69,0.87,1000.0
    9,0.78,0.81,0.75,1000.0
avg / total,0.68,0.69,0.69,10000.0
