class,f1_score,precision,recall,support
    0,0.99,0.99,1.0,980.0
    1,0.99,0.98,1.0,1135.0
    2,0.96,0.96,0.96,1032.0
    3,0.99,0.99,0.98,1010.0
    4,0.99,0.99,1.0,982.0
    5,0.96,0.96,0.96,892.0
    6,0.98,0.98,0.98,958.0
    7,0.98,0.99,0.98,1028.0
    8,0.99,1.0,0.99,974.0
    9,0.99,0.99,0.98,1009.0
avg / total,0.98,0.98,0.98,10000.0
