class,f1_score,precision,recall,support
    0,0.98,0.95,1.0,20.0
    1,0.97,1.0,0.95,20.0
    2,0.95,0.95,0.95,20.0
    3,1.0,1.0,1.0,20.0
    4,0.92,1.0,0.85,20.0
    5,0.88,0.83,0.95,20.0
avg / total,0.95,0.95,0.95,120.0
